Department,Agency,Use Case ID (Added),Use Case Name,Short Description,Use Case Category,Use Case Type,AI Techniques,Date Published,
Department of Energy,Idaho National Laboratory,AI118,Secure and Resilient Machine Learning System for Detecting Fifth Generation (5G) Attacks including Zero-Day Attacks,This project will implement an advanced machine learning based 5G attack detection system that can achieve high classification speed (10k packets per second) with high accuracy (90% or greater) as well as address a vulnerability to zero-day attacks  (90% accuracy against real zero-day attacks recorded by Amazon Web Services) using field programmable gate array based deep autoencoders.,,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI119,Automated Malware Analysis Via Dynamic Sandboxes,"The goal of this project is to develop an analysis framework enabled by dynamic sandboxes that allows for automated analysis, provides non-existing core capabilities to analyze industrial control system malware, and outputs to a format that is machine readable and an industry standard in sharing threat information. This will enable further analysis efforts via machine learning and provide a foundational platform that would allow for timely, automated analysis of malware samples.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI120,Interdependent Infrastructure Systems Resilience Analysis for Enhanced Microreactor Power Grid Penetration,"This project will develop machine learning enabled integrated resource planning methodologies to help quantify key resilience elements across integrated energy systems and their vulnerabilities to threats and hazards. This includes the ability to accurately analyze and visualize a region’s critical infrastructure systems ability to sustain impacts, maintain critical functionality, recover from disruptive events. This advanced decision support capability can improve our understanding of these complex relationships and help predict the potential impacts that microreactors and distributed energy resources have on the reliability and resiliency of our energy systems.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI121,Adaptive Fingerprinting of Control System Devices through Generative Adversarial Networks,This project focuses on the reduction of manual labor and operational cost required  for training an electromagnetic (EM)-based anomaly detection system for legacy industrial control systems devices and Industrial Internet of Things. This research would enable EM-based intrusion detection systems to be deployed to protect legacy control systems.,,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI122,"Support Vector Analysis for Computational Risk Assessment, Decision-Making, and Vulnerability Discovery in Complex Systems","This project addressed limitations in current probabilistic risk assessment (PRA) by combining a support vector machine and PRA software to auto-detect system design vulnerabilities and find previously unseen issues, reduce human error, and reduce human costs. This method does not require training data that would only be available in the event of system or subsystem failures.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI123,Deep Reinforcement Learning and Decision Analytics for Integrated Energy Systems,"This project will develop a novel deep reinforcement learning approach that can manage distributed or tightly coupled multi-agent systems utilizing deep neural networks for automatic system representation, modeling, and end-to-end learning. This new control method will enable complex, nonlinear system optimization over timescales from milliseconds to months.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI124,"Nuclear-Renewable-Storage Digital Twin: Enhancing Design, Dispatch, and Cyber Response of Integrated Energy Systems","This project will develop a learning-based and digital twin enabled modeling and simulation framework for economic and resilient real-time decision-making of physics- informed integrated energy systems (IES) operation. High-fidelity physics models will be linked with large-scale grid monitoring data to provide real-time updates of IES states, predictive control systems, and optimized power dispatch solutions. Learning- based algorithms will make real-time decisions upon detection of component contingencies caused by climate-induced or man-made extreme events, such as cyber-attacks or extreme weather, thereby mitigating their impacts through appropriate counter measures.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI125,Automated Infrastructure & Dependency Detection via Satellite Imagery and Dependency Profiles,"Computer vision, a broad set of techniques for training statistical models and neural networks to process images, has advanced substantially in recent years. Applying these capabilities to satellite imagery can improve critical infrastructure analysis and interdependency data build-outs. Combining advanced computer vision techniques, a functional taxonomic approach to critical infrastructure, and the unique geo-spatial and dependency datasets the research team developed can produce innovative and state- of-the-art image processing results that advance abilities to secure and defend national critical infrastructure.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI126,Accelerated Nuclear Materials and Fuel Qualification by Adopting a First to Failure Approach,"Physics-based multi-scale modeling was coupled with deep, recursive, and transfer learning approaches to accelerate nuclear materials research and qualification of high- entropy alloys. Applying AI to combinatorial-based materials research enables subsequent analysis to focus on a limited number of candidates predicted to have the necessary materials properties for the application.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI127,Evaluating thermal properties of advanced materials,"The standard thermal diffusivity measurement technique laser flash is enhanced by modifying the traditional experimental set up and analyzing results with a machine learning based tool that includes a finite element model, a least-squares fitting   algorithm and experimental data treatment algorithms. This tool helps elucidate thermo- physical properties of a material from a single laser flash measurement.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI128,Spectral Observation Convolutional Neural Network,"This project developed method to analyze collected radiation spectra using advanced, scalable deep learning by combining spectroscopic expertise with high performance computing. Sophisticated deep learning can overcome the weaknesses of existing spectroscopic techniques and enhance the value of difficult measurements. This method was trained, tested, and operated on the International Space Station’s Spaceborne Computer-2 supercomputer, returning zero errors over the course of 100 training hours. This demonstrated performance autonomously in far-edge, low-wattage computing situations and in hazardous radiological environments where interference can cause errors.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI129,Passive Strain Measurements for Experiments in Radiation Environments,This project will develop passive instrumentation to determine permanent strains induced by irradiation and extract critical parameters using modeling and simulation as well as machine learning algorithms. An irradiation experiment will be conducted that  will benefit from engineered anisotropic materials and characterize the directional deformation in response to neutron radiation. The results of the experiment will be incorporated into the model so that the material response can be predicted for future uses as a probe material.,,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI130,Machine Learning Interatomic Potentials for Radiation Damage and Physical Properties in Model Fluorite Systems,This project will use machine learning interatomic potentials to study the influence of radiation damage on physical properties of calcium fluoride and uranium dioxide. Electron irradiation experiments and thermal conductivity measurements will be performed to validate the effectiveness of the developed potentials. The high throughput capability of this method will become an important combinatorial materials science tool for developing and qualifying new nuclear fuels.,,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI131,Data-driven failure diagnosis and prognosis of solid-state ceramic membrane reactor under harsh conditions using deep learning technology with internal voltage sensors,This research will investigate in situ the effects of different components on the degradation behavior in a solid-state ceramic membrane reactor by embedding sensors that will collect current and impedance data during operation. Artificial intelligence will be used to understand the large amounts of data and predict reactor failure under harsh operating conditions.,,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI132,Tailoring the Properties of Multiphase Materials Through the Use of Correlative Microscopy and Machine Learning,"This research uses state-of-the-art machine learning (ML) techniques in a new and novel manner to identify and correlate the critical microstructural features in a multiphase alloy that exhibits high strength and fracture toughness. Experimental data will be used to train a convolutional neural network (CNN) in a semi-supervised environment to identify key microstructural features and correlate those features with the strength and toughness. The resulting machine learning tool can be trained for additional microstructural features, different alloys, and/or target mechanical properties.",,,,7/1/22,
Department of Energy,Idaho National Laboratory,AI133,Microstructurally-driven Framework for Optimization of In-core Materials,"This research will develop a methodology that relies on mechanism-informed machine learning models, rapid ion irradiation and creep testing techniques, and advanced characterization coupled with automated image analysis to enable reactor developers to quickly understand the complex linkage between alloy composition, thermomechanical processing, the resulting microstructure, and swelling and creep behavior. This project will (1) develop and demonstrate a high-potential methodology for rapid development of future in-core materials and (2) provide critically important information on alloy design for optimized swelling and creep behavior to the advanced reactor development community.",,,,7/1/22,
Department of Health & Human Services,Health Resources and Services Administration (HRSA),AI134,Health Resources and Services Administration (HRSA) Electronic Handbooks (EHBs) AI Chatbot,"AI Chatbot
• Successfully developed and deployed HRSA EHBs AI Chatbot using Artificial Solutions Teneo platform for external HRSA EHBs grantees
• Built to allow grantees to communicate with the EHBs Chatbot using regular natural conversational expressions
• Provides knowledge- and action-based responses through a self-service platform with 24/7 availability
• Integrated with existing EHBs application UI and Salesforce for automated ticket creation
• Chatbot has the ability to refine and increase the accuracy of its responses as more and more users invoke/use the Chatbot",,,,1/1/23,
Department of Health & Human Services,Health Resources and Services Administration (HRSA),AI135,Health Resources and Services Administration (HRSA) BHW Community Need Analysis Platform,The first use case being developed is for primary care with behavioral health integration which uses a machine learning based automated clustering engine.  The development of this tool allows for BHW to dynamically assess the healthcare need of a population given a specific use case and relevant datasets.  The output of the model will be used as part of the Notice of Funding Opportunity (NOFO) grant proposal evaluation process.,,,,1/1/23,
Department of Health & Human Services,Centers for Disease Control and Prevention (CDC) NCHS,AI136,ICD-10 Coding of Cause of Death reported on Death Certificates (MedCoder),MedCoder ICD-10 cause of death codes to the literal text cause of death description provided by the cause of death certifier on the death certificate.  This includes codes for the underlying and contributing causes of death.,,,,1/1/23,
Department of Health & Human Services,Centers for Disease Control and Prevention (CDC) NCHS,AI137,Item Nonresponse Detection in Open-text Response Data,"NCHS is developing an item nonresponse detection model, to identify cases of item nonresponse (e.g., gibberish, uncertain/don’t know, refusals, or high-risk) among open-text responses to help improve survey data and question and questionnaire design. The system is a Natural Language Processing (NLP) model pre-trained using Contrastive Learning and fine-tuned on a custom dataset from survey responses.",,,,1/1/23,
Department of Health & Human Services,Centers for Disease Control and Prevention (CDC) NCHS,AI138,Sequential Coverage Algorithm (SCA) in Record Linkage,"CDC’s National Center for Health Statistics (NCHS) Data Linkage Program has implemented a supervised machine learning algorithm, known as the Sequential Coverage Algorithm (SCA) in their linkage programs. The SCA was used to develop joining methods (or blocking groups) when working with very large datasets. The SCA method improved the efficiency of blocking.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI139,Chatbot - Voice,"CMS/OSFLO: To assist the CMS Badging Help Desk, this Chatbot (voice) is an automated phone response for general badging questions allowing help desk personnel to assist employees and contractors with more detailed/larger issues.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI140,Chatbot - Text,"CMS/OSFLO: To assist the Security team, this Chatbot (text) provides an automated email response for general physical security questions, allowing the help desk team to assist employees and contractors  with more in depth issues.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI141,Feedback Analysis Solution (FAS),"The Feedback Analysis Solution is a system that uses CMS or other publicly available data (such as Regulations.Gov) to review public comments and/or analyze other information from internal and external stakeholders. The FAS uses Natural Language Processing (NLP) tools to aggregate, sort and identify duplicates to create efficiencies in the comment review process. FAS also uses machine learning (ML) tools to identify topics, themes and sentiment outputs for the targeted dataset.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI142,Predictive Intelligence - Incident Assignment for Quality Service Center (QSC).,Predictive Intelligence (PI) is used for incident assignment within the Quality Service Center (QSC). The solution runs on incidents created from the ServiceNow Service Portal (https://cmsqualitysupport.servicenowservices.com/sp_ess). The solution analyzes the short description provided by the end user in order to find key words with previously submitted incidents and assigns the ticket to the appropriate assignment group. This solution is re-trained with the incident data in our production instance every 3-6 months based on need.,,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI143,Reasonable Accommodation RPA Bot,"The Bot pulls HR data related to staffing changes, e.g. promotions, reassignments, change in supervisor, and generates information for action by Reasonable Accommodation staff to ensure disability reasonable accommodations follow the employee.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI144,Rapid Authority to Operate (ATO),"The Rapid ATO System was built using a natural language processing model and pipeline to process system security plans, to identify unique and commonly used technology components used across Federal Information Security Management Act (FISMA)  systems. Natural language processing (NLP) is a form of machine learning that derives intent or subject out of blocks of text. In this particular case it was used to identify common blocks of language used in similar ways across system security plan (SSP) documents. In this way, CMS could identify similar approaches to solving certain technology or process-related control areas within the Acceptable Risk Safeguards (ARS). The output was used to create a list of components to develop control description language in a re-usable way, as part of the Blueprint/Rapid ATO effort to streamline SSP generation for new systems.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI145,Data Lake/Load-Extract-Load-Transform (L-ETL),"CMS is using Security Data Lake to modernize the load-extract-load-transform (L-ETL) pipelines and data tooling. CMS will be enhancing Agency security to bring together more system, telemetry and program data in one place with a unifying governance model. Building on top of a modern data platform will provide opportunities to experiment with machine learning model development against this data--solving any number of problems that require decisions to be made about inferences over time series data. There is no actual ML/AI work being done here today, rather, we are beginning work on the scaffolding that will open up these opportunities in 1-2 years time.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI146,Priority Score Model - ranks providers within the Fraud Prevention System using logistic regression based on program integrity guidelines.,"Inputs - Medicare Claims data, Targeted Probe and Educate (TPE) Data, Jurisdiction information
Output -  ranks providers within the FPS system using logistic regression based on program integrity guidelines.",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI147,"Priority Score Timeliness - forecast the time needed to work on an alert produced by Fraud Prevention System (Random Forest, Decision Tree, Gradient Boost, Generalized Linear Regression)","Inputs - Medicare Claims data, TPE Data, Jurisdiction information
Output -  forecast the time needed to work on an alert produced by FPS (Random Forest, Decision Tree, Gradient Boost, Generalized Linear Regression)",,,,1/1/23,
Department of Health & Human Services,Centers for Medicare & Medicaid Services (CMS),AI148,Provider Education 90 Day - reviews claims for provider before and after education for statistical change in their claim submission patterns,"Inputs - Medicare Claims data, TPE Data, Jurisdiction information
Output -  reviews claims for provider before and after education for statistical change in their claim submission patterns",,,,1/1/23,
Department of Health & Human Services,Food and Drug Administration (FDA),AI149,Advanced Semantic Search and Indexing of Text for Tobacco Applications (ASSIST4Tobacco),ASSIST4Tobacco is a novel tool that will use semantic indexing to search tobacco authorization applications. The system will be based on an AI (artificial intelligence)-based NLP (Natural Language Processing) model which provides deeper search capabilities using a language model developed to represent relationships between words and concepts within a body of text.,,,,1/1/23,
Department of Health & Human Services,Food and Drug Administration (FDA),AI150,Artificial Intelligence-based Deduplication Algoirthm for Classfication of Duplicate Reports in the FDA Adverse Event Reports (FAERS),The deduplication algorithm is applied to nonpublic data in the FDA Adverse Event Reporting System (FAERS) to identify duplicate reports.  Unstructured data in free text FAERS narratives is processed through a natural language processing system to extract relevant clinical features. Both structured and unstructured data are then used in a probabilistic record linkage approach to score pairs of reports by evaluating multiple data fields and applying relative weights per field. The output of potential duplicate reports is further placed in groups to facilitate identification of FAERS reports during case series evaluation for safety issues of concern.,,,,1/1/23,
Department of Health & Human Services,Food and Drug Administration (FDA),AI151,Opioid Data Warehouse Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics,"The Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics use publicly available social media and forensic chemistry data to identify novel referents to drug products in social media text. It uses the FastText library to create vector models of each known NSO-related term in a large social media corpus, and provides users with similarity scores and expected prevalence estimates for lists of terms that could be used to enhance future data gathering efforts.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NIGMS,AI152,"National Institute of General Medical Sciences (NIGMS) AI Supported Searches, Information Systems and Tools System Acronym: NIGMS ASSIST)","NIGMS program staff often need information that is available through IMPAC or QVR to perform their daily tasks. In order to provide such information, DIMA and IRMB have collaborated to develop functions that utilize artificial intelligence and natural language processing methods to produce data relevant to the program staff’s mission. These tools are collected into a single system to make them available to the NIGMS community for use on a day-to-day basis. ASSIST provides a secure interface supported by Oracle, SQL server and Python analytics. The individual components of ASSIST provide the following functions:
- FLIP module (Development), provides the ability to identify investigators by PPID from Federal RePORTER based on user input of investigator PPIDs.
- TPAL module (Production), provides the ability to lookup potential matching program officers, including their corresponding predicted Program Area Codes, and ICs based on the input of unstructured scientific data.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NIGMS,AI153,Leveraging AI for Business Process Automation,"NIGMS has developed a method to automate the initial referral of grant applications to the proper scientific expertise within the Institute using Natural Language Processing and Machine Learning. NIGMS IRMB and DIMA are currently using this NLP/ML algorithm developed in R statistical software to parse grant applications and to determine Project Officer candidates for grant assignment. This process was previously fully manual and required a substantial person hour effort. NIGMS has collaborated with the Electronic Records Administration group to incorporate this technique into the Internal Referral Module, and the tool is now available to be adapted for broader use across the NIH.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NIEHS,AI154,Grant Application Subject-Matter Classification Tool,Natural language processing of grant applications for the purpose of classification for review assignment,,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NIEHS,AI155,Splunk IT System Monitoring Software,Splunk utilizes machine learning to aggregate system logs from IT infrastructure systems and endpoints for auditing and monitoring purposes,,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NIEHS,AI156,COVID-19 Pandemic Vulnerability Index Dashboard,"The dashboard creates risk profiles, called PVI scorecards, for every county in the United States, continuously updated with the latest data that summarize and visualize overall disease risk.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NHLBI,AI157,Leveraging AI/ML for classification and categorization of scientific concepts,Topical characterization of the research portfolio.  Inputs are publications and grants abstracts. These are fed into a text classification model and concept extraction. The outputs are category labels and list of concepts.,,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OPA,AI158,Machine learning system to predict translational progress in biomedical research,"Fundamental scientific advances can take decades to translate into improvements in human health. Shortening this interval would increase the rate at which scientific discoveries lead to successful treatment of human disease. One way to accomplish this would be to identify which advances in knowledge are most likely to translate into clinical research.
Toward that end, the NIH Office of Portfolio Analysis built a machine learning system that detects whether a paper is likely to be cited by a future clinical trial or guideline. Despite the noisiness of citation dynamics, as little as 2 years of postpublication data yield accurate predictions about a paper’s eventual citation by a clinical article (accuracy = 84%, F1 score = 0.56; compared to 19% accuracy by chance). We found that distinct knowledge flow trajectories are linked to papers that either succeed or fail to influence clinical research. Translational progress in biomedicine can therefore be assessed and predicted in real time based on information conveyed by the scientific community’s early reaction to a paper. For more information see the publication describing this system: Hutchins et al 2019 (https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000416)",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OPA,AI159,Semantic analysis of scientific documents (word2vecOPA),"The NIH Office of Portfolio Analysis has developed a neural network approach to analysis of scientific content using dimensionality reduction (word2vecOPA). This method computationally converts words in scientific texts to numbers and summarizes documents by their semantic content by learning relationships between words from their context. This method is adaptable to specific corpora, including grants and scientific articles. For more information see the publication describing our word2vec approach: Hoppe et al 2019 (https://www.science.org/doi/10.1126/sciadv.aaw7238)",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OPA,AI160,Person-level disambiguation for PubMed authors and NIH grant applicants,"High-quality disambiguation is required to correctly link researchers to their grants and outputs including articles, patents, and clinical trials. The NIH Office of Portfolio Analysis developed a disambiguation solution that used article level metadata to assign 24.5M unique papers from the PubMed database to 16.0M unique author names, then used a novel neural network model trained on ORCID identifiers to determine whether author-publication pairs refer to variant representations of the same person. For example, our model can determine whether hypothetical records listing Jane Smith and Jane M. Smith were the same person, or two different people, based on variables that include institutional affiliation, co-authorship, and article-affiliated Medical Subject Heading (MeSH) terms. For more information see the publication describing this method: Yu et al 2021 (https://www.biorxiv.org/content/10.1101/2021.02.02.429450v1.full.pdf)",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OER,AI161,Program Class Code (Area of Science) Referral for NIAID,"The REFERRAL GROUP of Referral, Program Analysis Branch (RPAB) is responsible for program assignments for all research, training, career, and fellowship grant applications submitted to NIAID, from CSR.  The NIAID Program Class Code classification AI project evaluates the projects that are in RAPB and auto assigns these grant applications to the Program Class Codes.  The inputs are comprised of approximately 6,000+ grant applications that are currently manually assigned  by RPAB Staff. The output would be grant applications that are categorized into their  respective PCC's.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OER,AI162,"Research, Condition, and Disease Categorization (RCDC)","RCDC  is an electronic budget reporting tool that  categorizes projects using AI/NLP.  The inputs are grant applications, R&D contracts, intramural projects, inter agency agreements.  The RCDC Fingerprinting process identifies concepts in the extracted text from the source project, person or publication. The text is normalized, concepts are extracted, concepts and synonyms are matched to the RCDC thesaurus. A rank is applied based on the frequency of occurrence of the concepts within the text. Project fingerprints are sourced from the application description text (Title, Abstract and Specific Aims). Titles and abstracts provide the source of scientific concepts for publications. The system then outputs the projects into their respective areas of science.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OER,AI163,Query View Report (QVR) LIKE,"The LIKE feature in QVR makes use of the NIH Research, Condition and Disease Categorization (RCDC) indexing results to compare scientific terms associated with a project, person or publication and find scientifically similar projects, persons or publications.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OER,AI164,Internal Referral Module (IRM) NLP,"The IRM NLP module automatically refers projects to Program Officers once the grant application is received.  The system inputs are grant applications - the title, abstract, specific aims and Public Health Relevance is analyzed to automatically refer the grant application to the Program Officer who matches  a similar background with the science contained in the applications.  This process, is operating at a high accuracy rate and has effectively eliminated the referral bottleneck.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) OER,AI165,NIH Grants Virtual Assistant,Chat Bot to assist users in finding grant related information via OER resources,,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI166,Pangolin lineage classifications to support accessing and analysis of SARS-CoV-2 sequence data.,"The Pango nomenclature, called Pango lineages, is being used by researchers and public health agencies worldwide to track the transmission and spread of SARS-CoV-2, including variants of concern. The requirements for running the tool include having conda on a MacOS or Linux system, and the FASTA-formated sequence data. There are 2 methods for lineage assignment with Pango; within NCBI Virus we use the process which includes PangoLEARN, where a classification tree is used to group similar sequences.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI167,Providing  MeSH Check Tag of NLM’s Medical Text Indexer (MTI) ons using Support Vector Machines (SVM),"Titles and abstracts from MEDLINE Citations are provided through SVM machine learning algorithm provides confidence scores for a set of MeSH CheckTags to the NLM Medical Text Indexer (MTI) program.  These CheckTags are small set of MeSH Descriptors designed to indicate Species, Sex, and Age in MEDLINE articles.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI168,Determining selection for indexing MEDLINE articles using Neural Network Architecture with a Convolutional Neural Network (CNN),"Using the article title, abstract, journal, publication year, and indexing year of indexed and non-indexed articles that were submitted to MEDLINE in 2018, methods to automate the selection of indexed articles was researched. A classifier was developed that combines the predictions of many traditional machine learning algorithms and a Convolutional Neural Network (CNN). The final classification layer uses a sigmoid activation function to generate a single output value between zero and one, which can be interpreted as the probability of an article being in-scope for MEDLINE.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI169,MetaMap to identity potential terms for indexing MEDLINE articles,"MetaMap is a widely available program providing access from biomedical text to the concepts in the unified medical language system (UMLS) Metathesaurus. MetaMap uses NLP to provide a link between the text of biomedical literature and the knowledge, including synonymy relationships, embedded in the Metathesaurus. The flexible architecture in which to explore mapping strategies and their application are made available. MTI uses the MetaMap to generate potential indexing terms.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI170,Best Match: New relevance search for PubMed,"PubMed is a free search engine for biomedical literature accessed by millions of users from around the world each day. With the rapid growth of biomedical literature, finding and retrieving the most relevant papers for a given query is increasingly challenging. We have developed Best Match, a new relevance search algorithm for PubMed that leverages the intelligence of our users and cutting-edge machine-learning technology as an alternative to the traditional date sort order. The Best Match algorithm is trained with past user searches with dozens of relevance-ranking signals (factors) and demonstrates state-of-the-art retrieval performance in benchmarking experiments as well as an improved user experience in real-world testing.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI171,SingleCite: Improving single citation search in PubMed,"A search that is targeted at finding a specific document in databases is called a Single Citation search, which is particularly important for scholarly databases, such as PubMed, because it is a typical information need of the users. We have developed SingleCite, an automated algorithm that establishes a query-document mapping by building a regression function to predict the probability of a retrieved document being the target based on three variables: the score of the highest scoring retrieved document, the difference in score between the two top retrieved documents, and the fraction of a query matched by the candidate citation. SingleCite shows superior performance in benchmarking experiments and is applied to rescue queries that would fail otherwise.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI172,Computed Author: author name disambiguation for PubMed,"PubMed users frequently use author names in queries for retrieving scientific literature. However, author name ambiguity (different authors share the same name) may lead to irrelevant retrieval results. Thus we have developed a machine-learning method to score the features for disambiguating a pair of papers with ambiguous names.
Subsequently, agglomerative clustering is employed to collect all papers belong to the same authors from those classified pairs. Disambiguation performance is evaluated with manual verification of random samples of pairs from clustering results, with a higher accuracy than other state-of-the-art methods. It has been integrated into PubMed to facilitate
author name searches.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI173,National Library of Medicine NLM-Gene: towards automatic gene indexing in PubMed articles,"Gene indexing is part of the NLM’s MEDLINE citation indexing efforts for improving literature retrieval and information access. Currently, gene indexing is performed manually by expert indexers. To assist this time-consuming and resource- intensive process, we have developed NLM-Gene, an automatic tool for finding gene names in the biomedical literature using advanced natural language processing and deep learning methods. Its performance has been assessed on gold- standard evaluation datasets and is to be integrated into the production MEDLINE indexing pipeline.",,,,1/1/23,
Department of Health & Human Services,National Institutes of Health (NIH) NLM,AI174,National Library of Medicine NLM-Chem: towards automatic chemical indexing in PubMed articles,"Chemical indexing is part of the NLM’s MEDLINE citation indexing efforts for improving literature retrieval and information access. Currently, chemcial indexing is performed manually by expert indexers. To assist this time-consuming and resource-intensive process, we have developed NLM-Chem, an automatic tool for finding chemical names in the biomedical literature using advanced natural language processing and deep learning methods. Its performance has been assessed on gold-standard evaluation datasets and is to be integrated into the production MEDLINE indexing pipeline.",,,,1/1/23,
Department of Health & Human Services,Office of Inspector General (OIG),AI175,Grants Analytics Portal,"The Grants Analytics Portal uses AI to enhance HHS OIG staff’s ability to access grants related data quickly and easily by: quickly navigating directly to the text of relevant findings across thousands of audits, the ability to discover similar findings, analyze trends, compare data between OPDIVs, and the means to see preliminary assessments of potential anomalies between grantees.",,,,1/1/23,
Department of Health & Human Services,Office of Inspector General (OIG),AI176,Text Analytics Portal,"The text analytics portal allows personnel without an analytics background to quickly examine text documents through a related set of search, topic modeling and entity recognition technologies",,,,1/1/23,
Department of Health & Human Services,Agency for Healthcare Research and Quality,AI177,Relevancy Tailoring,Adjusting the ranking of search results so that most relevant results show up at the top of the list,,,,1/1/23,
Department of Health & Human Services,Agency for Healthcare Research and Quality,AI178,Auto-generation Synonyms,"Behind the scenes, adding synonyms to search queries to improve search results",,,,1/1/23,
Department of Health & Human Services,Agency for Healthcare Research and Quality,AI179,Automated Suggestions,Auto-filling queries as  they are typed,,,,1/1/23,
Department of Health & Human Services,Agency for Healthcare Research and Quality,AI180,Suggested Related Content,"Show related searches that may provide the user with other related, valuable information",,,,1/1/23,
Department of Health & Human Services,Agency for Healthcare Research and Quality,AI181,Auto Tagging,Suggesting content tags automatically based on a machine-driven evaluation of how existing content is tagged,,,,1/1/23,
Department of Health & Human Services,Agency for Healthcare Research and Quality,AI182,Did you mean,Suggesting spelling corrections and reformatted search queries based on Google Analytics data,,,,1/1/23,
Department of Health & Human Services,Agency for Healthcare Research and Quality,AI183,Chatbot,An interactive interface that can respond to plain language queries in real time using natural language processing,,,,1/1/23,
Department of Homeland Security,DHS Headquarters,AI184,Sentiment Analysis and Topic Modeling (SenTop),"The initial purpose of the Sentiment Analysis and Topic Modeling (SenTop) project was to analyze survey responses for DHS’s Office of the Chief Procurement Officer related to contracting. However, it has evolved to be a general-purpose text analytics solution that can be applied to any domain/area. It also has been tested/used for human resources topics. SenTop is a DHS-developed Python package for performing descriptive text analytics. Specifically, sentiment analysis and topic modeling on free-form, unstructured text. SenTop uses several methods for analyzing text including combining sentiment analyses and topic modeling into a single capability, permitting identification of sentiments per topic and topics per sentiment. Other innovations include the use of polarity and emotion detection, fully automated topic modeling, and multi-model/multi-configuration analyses for automatic model/configuration selection. The code has been established, performs an analysis, and provides a report but it is only accessed and run by one person per customer request.",,,,8/17/22,
